Date (2024),City,Country,Venue,Opening acts,Attendance,Revenue
February 7,Tokyo,Japan,Tokyo Dome,—,—,—
February 8,Tokyo,Japan,Tokyo Dome,—,—,—
February 9,Tokyo,Japan,Tokyo Dome,—,—,—
February 10,Tokyo,Japan,Tokyo Dome,—,—,—
February 16,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,—,—
February 17,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,—,—
February 18,Melbourne,Australia,Melbourne Cricket Ground,Sabrina Carpenter,—,—
February 23,Sydney,Australia,Accor Stadium,Sabrina Carpenter,—,—
February 24,Sydney,Australia,Accor Stadium,Sabrina Carpenter,—,—
February 25,Sydney,Australia,Accor Stadium,Sabrina Carpenter,—,—
February 26,Sydney,Australia,Accor Stadium,Sabrina Carpenter,—,—
March 2,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
March 3,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
March 4,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
March 7,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
March 8,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
March 9,Singapore,Singapore,Singapore National Stadium,Sabrina Carpenter,—,—
May 9,Nanterre,France,Paris La Défense Arena,Paramore,—,—
May 10,Nanterre,France,Paris La Défense Arena,Paramore,—,—
May 11,Nanterre,France,Paris La Défense Arena,Paramore,—,—
May 12,Nanterre,France,Paris La Défense Arena,Paramore,—,—
May 17,Stockholm,Sweden,Friends Arena,Paramore,—,—
May 18,Stockholm,Sweden,Friends Arena,Paramore,—,—
May 19,Stockholm,Sweden,Friends Arena,Paramore,—,—
May 24,Lisbon,Portugal,Estádio da Luz,Paramore,—,—
May 25,Lisbon,Portugal,Estádio da Luz,Paramore,—,—
May 30,Madrid,Spain,Santiago Bernabéu Stadium,Paramore,—,—
June 2,Décines-Charpieu,France,Groupama Stadium,Paramore,—,—
June 3,Décines-Charpieu,France,Groupama Stadium,Paramore,—,—
June 7,Edinburgh,Scotland,Murrayfield Stadium,Paramore,—,—
June 8,Edinburgh,Scotland,Murrayfield Stadium,Paramore,—,—
June 9,Edinburgh,Scotland,Murrayfield Stadium,Paramore,—,—
June 13,Liverpool,England,Anfield,Paramore,—,—
June 14,Liverpool,England,Anfield,Paramore,—,—
June 15,Liverpool,England,Anfield,Paramore,—,—
June 18,Cardiff,Wales,Principality Stadium,Paramore,—,—
June 21,London,England,Wembley Stadium,Paramore,—,—
June 22,London,England,Wembley Stadium,Paramore,—,—
June 23,London,England,Wembley Stadium,Paramore,—,—
June 28,Dublin,Ireland,Aviva Stadium,Paramore,—,—
June 29,Dublin,Ireland,Aviva Stadium,Paramore,—,—
June 30,Dublin,Ireland,Aviva Stadium,Paramore,—,—
July 4,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,—,—
July 5,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,—,—
July 6,Amsterdam,Netherlands,Johan Cruyff Arena,Paramore,—,—
July 9,Zürich,Switzerland,Letzigrund,Paramore,—,—
July 10,Zürich,Switzerland,Letzigrund,Paramore,—,—
July 13,Milan,Italy,San Siro,Paramore,—,—
July 14,Milan,Italy,San Siro,Paramore,—,—
July 17,Gelsenkirchen,Germany,Veltins-Arena,Paramore,—,—
July 18,Gelsenkirchen,Germany,Veltins-Arena,Paramore,—,—
July 19,Gelsenkirchen,Germany,Veltins-Arena,Paramore,—,—
July 23,Hamburg,Germany,Volksparkstadion,Paramore,—,—
July 24,Hamburg,Germany,Volksparkstadion,Paramore,—,—
July 27,Munich,Germany,Olympiastadion,Paramore,—,—
July 28,Munich,Germany,Olympiastadion,Paramore,—,—
August 1,Warsaw,Poland,PGE Narodowy,Paramore,—,—
August 2,Warsaw,Poland,PGE Narodowy,Paramore,—,—
August 3,Warsaw,Poland,PGE Narodowy,Paramore,—,—
August 8,Vienna,Austria,Ernst-Happel-Stadion,Paramore,—,—
August 9,Vienna,Austria,Ernst-Happel-Stadion,Paramore,—,—
August 10,Vienna,Austria,Ernst-Happel-Stadion,Paramore,—,—
August 15,London,England,Wembley Stadium,Paramore,—,—
August 16,London,England,Wembley Stadium,Paramore,—,—
August 17,London,England,Wembley Stadium,Paramore,—,—
August 19,London,England,Wembley Stadium,Paramore,—,—
August 20,London,England,Wembley Stadium,Paramore,—,—
October 18,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,—,—
October 19,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,—,—
October 20,Miami Gardens,United States,Hard Rock Stadium,Gracie Abrams,—,—
October 25,New Orleans,United States,Caesars Superdome,Gracie Abrams,—,—
October 26,New Orleans,United States,Caesars Superdome,Gracie Abrams,—,—
October 27,New Orleans,United States,Caesars Superdome,Gracie Abrams,—,—
November 1,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,—,—
November 2,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,—,—
November 3,Indianapolis,United States,Lucas Oil Stadium,Gracie Abrams,—,—
November 14,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
November 15,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
November 16,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
November 21,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
November 22,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
November 23,Toronto,Canada,Rogers Centre,Gracie Abrams,—,—
December 6,Vancouver,Canada,BC Place,Gracie Abrams,—,—
December 7,Vancouver,Canada,BC Place,Gracie Abrams,—,—
December 8,Vancouver,Canada,BC Place,Gracie Abrams,—,—
