Date (2018),City,Country,Venue,Opening acts,Attendance,Revenue
May 8,Glendale,United States,University of Phoenix Stadium,"Camila Cabello
Charli XCX","59,157 / 59,157","$7,214,478"
May 11,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963"
May 12,Santa Clara,United States,Levi's Stadium,"Camila Cabello
Charli XCX","107,550 / 107,550","$14,006,963"
May 18,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980"
May 19,Pasadena,United States,Rose Bowl,"Camila Cabello
Charli XCX","118,084 / 118,084","$16,251,980"
May 22,Seattle,United States,CenturyLink Field,Charli XCX,"56,021 / 56,021","$8,672,219"
May 25,Denver,United States,Sports Authority Field at Mile High,"Camila Cabello
Charli XCX","57,140 / 57,140","$7,926,366"
June 1,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697"
June 2,Chicago,United States,Soldier Field,"Camila Cabello
Charli XCX","105,208 / 105,208","$14,576,697"
June 8,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724"
June 9,Manchester,England,Etihad Stadium,"Camila Cabello
Charli XCX","77,258 / 77,258","$6,169,724"
June 15,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769"
June 16,Dublin,Ireland,Croke Park,"Camila Cabello
Charli XCX","133,034 / 133,034","$8,567,769"
June 22,London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933"
June 23,London,England,Wembley Stadium,"Camila Cabello
Charli XCX","143,427 / 143,427","$12,214,933"
June 30,Louisville,United States,Cardinal Stadium,"Camila Cabello
Charli XCX","52,138 / 52,138","$4,928,219"
July 7,Columbus,United States,Ohio Stadium,"Camila Cabello
Charli XCX","62,897 / 62,897","$6,606,529"
July 10,Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004"
July 11,Landover,United States,FedExField,"Camila Cabello
Charli XCX","95,672 / 95,672","$11,396,004"
July 13,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047"
July 14,Philadelphia,United States,Lincoln Financial Field,"Camila Cabello
Charli XCX","107,378 / 107,378","$11,951,047"
July 17,Cleveland,United States,FirstEnergy Stadium,"Camila Cabello
Charli XCX","51,323 / 51,323","$5,148,757"
July 20,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386"
July 21,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386"
July 22,East Rutherford,United States,MetLife Stadium,"Camila Cabello
Charli XCX","165,654 / 165,654","$22,031,386"
July 26,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846"
July 27,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846"
July 28,Foxborough,United States,Gillette Stadium,"Camila Cabello
Charli XCX","174,764 / 174,764","$21,779,846"
August 3,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000"
August 4,Toronto,Canada,Rogers Centre,"Camila Cabello
Charli XCX","100,310 / 100,310","$11,177,000"
August 7,Pittsburgh,United States,Heinz Field,"Camila Cabello
Charli XCX","56,445 / 56,445","$6,230,876"
August 10,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415"
August 11,Atlanta,United States,Mercedes-Benz Stadium,"Camila Cabello
Charli XCX","116,746 / 116,746","$18,089,415"
